user,text
@davido,OBO X @wemabank Official !
@DevTobs,"Tag someone this could help!!! So proud to say Wema Bank’s making a major stride with these fundings!!!! If you’ve got a major Tech idea: this is your bet bet !!! If first link doesn’t work, try this: https://hackaholics.wemabank.com Good luck"
@heisrema,Wema bank I’m on my way @wemabank
@wemabank,Happy International Women's Day #IWD
@BlessingNkechi_,"I am currently out of the country and I know Nigeria is really hard. Drop your account details if you are following me and you are using any of these Banks below: Opay, PalmPay, Kuda, UBA, Access Bank, GT bank, Sterling Bank, Zenith Bank, Wema Bank, Fidelity Bank, First Bank etc"
@davido,"As part of @thebulbafrica and @wemabank efforts to empower the next generation of innovators, these brands have come together to Launch WEMA’s Kids innovation challenge and Future Z by The Bulb Africa. These programs are aimed at encouraging children to explore their ingenuity."
@ThisDeolaSef,"Wema bank still came to verify our address last year, you people live in a bubble."
@dockyminary_01,"Wema bank is the smartest of all banks, instead of donating money to the government, they decided to do this..."
@wemabank,Happy International Women's Day from all of us at Wema Bank. - #HappyInternationalWomensDay #IWD2020
@wemabank,"To win a ticket to the Wema Bank’s Kiddies Fun Fair, amongst other amazing cash prizes and gift items all you have to do is deposit N20,000 into your child's Royal Kiddies or ALAT Xplore account to help your child win a ticket to the fair. #WemaBankFunfair #ChildrensDay"
@Alex_Iyeke,"Good morning everyone, trust we all had a beautiful weekend? I just realized that these accounts @Angozi57 @stellaa551 @Goodness822 @Angozi58 @Esther31721725 @Abiodu32 @Micolizaz @Olaleka41 @rogers2188 are run by one person. Just type 9703891890 (wema bank) and see for yourself"
@hermeeenah,Please share and Donate so that my lawyer can go to law school. Wema Bank 0238203042 Layi-Ladipo Oluwanifemi
@aproko_doctor,Wema Bank 0236329212 Egemba Chinonso
@wemabank,"It's all about your child this May. Just deposit N20,000 into their Royal Kiddies or ALAT Xplore account to help your child win amazing cash and gift prizes. T&Cs apply. #ChildrenDay2024 #WemaKiddiesFair"
@Hobispride__,Hi everyone. Please help my friend pay her Law school fees No amount is too small Thanks & God bless you Wema Bank 0238203042 Layi-Ladipo Oluwanifemi
@AdeyemiSijuwade,"Good Afternoon kings and Queens... Please a Single Mum needs our help to pay some Debts. Your 1k, 2k will go a long way Sirs and Ma'ams . May God bless you Out of 150k,She already got 10k Pls help a sister Wema bank Omolade Adedoyin dedoyin 0288268264 Kindly"
@Oluwanifemii04,Following 0252370832 Wema bank Oluwanifemi Thanks sir
@UgwunnaEjikem,"Davido don get multiple credit alerts worth 53 million naira just today alone from thousands of bank accounts. But dem no born Wema Bank papa well to freeze ein account, call am for “verification”, see my people ‘rules and regulation’ na for poor man"
